Question,A,B,C,D,Answer,Image,Category
What should be done if the engine stalls while driving up a steep incline?,"Brake, pull the handbrake, shift to neutral, and restart the engine","Brake, pull the handbrake, and restart the engine","Shift to a lower gear, pull the handbrake, and restart the engine",Let the car roll and guide it carefully,A,,"Safe Driving Techniques"
What should be done if the windshield cracks while driving?,"Stay calm, slow down, park on the side, turn on hazard lights","Stay calm, turn on hazard lights, and keep driving","Stay calm, turn on hazard lights, and stop immediately","Stay calm, park on the side",A,,"Safe Driving Techniques"
"For safety when driving in the rainy season, what should be checked first?",Windshield wipers,Radiator water,Battery water,Doors and windows,A,,"Safe Driving Techniques"
When is it incorrect to turn on the headlights?,When visibility is less than 150 meters,When in a hurry to get to work,When it is raining heavily,When smoke covers the road,B,,"Safe Driving Techniques"
"What should be done if there is a burning smell, the air conditioning stops working, and the engine won't accelerate while driving?",Keep driving,Slow down and continue driving,Stop immediately in the middle of the road,Park in a safe place and call a mechanic,D,,"Safe Driving Techniques"
What is the correct sequence for safely stopping on a steep incline?,"Press the clutch, brake, pull the handbrake, and shift to neutral","Press the clutch, brake, and shift to neutral","Press the clutch, brake, and pull the handbrake",Brake and pull the handbrake,A,,"Safe Driving Techniques"
What is the effect of turning the steering wheel while the car is stationary?,Makes steering easier,Wears out the tire tread faster,Wastes power steering fluid,Wastes fuel,B,,"Safe Driving Techniques"
What should be done for sudden stops in a car without ABS brakes?,Press the brake hard without releasing,"Press the clutch first, then the brake",Press the brake and clutch simultaneously,Press and release the brake alternately,D,,"Safe Driving Techniques"
What happens when braking suddenly at high speed in a car without ABS brakes?,The car will stop within the designated distance,The wheels will lock and the car will spin,The car will gradually slow down,The wheels will lock and the car will stop immediately,C,,"Safe Driving Techniques"
What happens when a tire blows out while driving?,The steering wheel becomes light,The steering wheel becomes heavy and the car tilts,The car stops suddenly,The brakes stop working,B,,"Safe Driving Techniques"
What should be done if a tire blows out or bursts while driving?,"Stay calm, steer firmly, slow down, and avoid sudden braking",Brake as quickly as possible,Steer quickly to the side of the road,Shift to neutral and brake quickly,A,,"Safe Driving Techniques"
What should be done if the hood opens while driving?,Slow down and park on the side to close the hood properly,Steer immediately to the side to close the hood properly,Brake suddenly,Accelerate to close the hood,A,,"Safe Driving Techniques"
What is the initial remedy for a car electrical short circuit?,Use a thick cloth to pat it,Cut the power or remove the battery terminal,Find oil to pour on it,Throw sand on it,B,,"Safe Driving Techniques"
What is the effect of adjusting the driver's seat too far back?,Makes shifting gears easier,Improves visibility and decision-making,"Makes steering and using controls difficult, unable to use clutch and brake in emergencies",Makes braking easier,C,,"Safe Driving Techniques"
How should you check if a seat belt is working properly?,Pull the belt quickly and it should lock,Check if it is new,Check if it has a brand,Ensure it is a dark color,A,,"Safe Driving Techniques"
What should be done first if the car skids and loses control?,Shift to low gear to slow down,Gradually press the clutch,Turn the steering wheel left and right,Slow down and hold the steering wheel firmly,D,,"Safe Driving Techniques"
What should the front wheels do when parking close to the curb?,Turn towards the curb,Stay in any position,Straight and parallel to the curb or sidewalk,Turn away from the curb,C,,"Safe Driving Techniques"
What is the consequence of shifting into reverse gear while the car is still moving forward?,No effect on any part of the car,Hard to shift and the gear wears out faster,Transmission oil runs out quickly,Engine consumes more oil,B,,"Safe Driving Techniques"
At what speed should a car be driven in reverse?,Reverse slowly and carefully,Any speed is fine,Reverse as if driving forward,Speed according to the condition of the car,A,,"Safe Driving Techniques"
What is the correct way to start the engine?,"Engage the handbrake, shift to neutral, turn off electrical equipment, press the clutch, start the engine","Shift to neutral, engage the handbrake, start the engine","Press the clutch, start the engine","Disengage the handbrake, turn off electrical equipment, start the engine",A,,"Safe Driving Techniques"
What should be done when it rains heavily and visibility is poor?,Park the car immediately,Turn on the headlights and speed through the heavy rain area,Speed through the heavy rain area quickly,"Park in a safe place, turn on headlights and hazard lights",D,,"Safe Driving Techniques"
What is the correct hand position on the steering wheel when driving straight?,At 2 o'clock and 10 o'clock positions,At 4 o'clock and 10 o'clock positions,At 3 o'clock and 10 o'clock positions,At 6 o'clock and 10 o'clock positions,A,,"Safe Driving Techniques"
What should not be done when driving in the rain?,Turn on windshield wipers,Turn on hazard lights along the route,Drive with increased caution,Reduce speed,B,,"Safe Driving Techniques"
What should not be done when driving in the rain?,Turn on windshield wipers,Turn on hazard lights along the route,Drive with increased caution,Reduce speed,B,,"Safe Driving Techniques"
What should be done when approaching an intersection and intending to go straight?,Slow down and increase caution before reaching the intersection,Be cautious of the left-side vehicles as they are closer,Be cautious of the right-side vehicles only and continue driving,Maintain the same speed,A,30-4b45.jpg,"Safe Driving Techniques"
What should be done when approaching an intersection and intending to go straight?,Slow down and let the right-side vehicles pass first,Continue driving as we have the right of way,Maintain the same speed,Accelerate to pass first,A,31-a930.jpg,"Safe Driving Techniques"
What should be done when intending to turn right at an intersection?,Stop at a safe distance,Move to the right lane and turn,Turn immediately with the car ahead,Slow down as the car ahead is turning left,D,32-e65a.jpg,"Safe Driving Techniques"
What should be done when the traffic light turns yellow?,Speed up and pass through,Honk and pass through,Gradually press the brake to alert the car behind and prepare to stop,Brake immediately,C,33-9789.jpg,"Safe Driving Techniques"
What should be done when intending to turn left at an intersection?,Slow down and be cautious of the left-side vehicles and pedestrians crossing the street,Turn left immediately,Accelerate to turn quickly,Honk before turning,A,34-b3cd.jpg,"Safe Driving Techniques"
What should be done when intending to turn left at an intersection?,Follow closely behind the car ahead and turn immediately,"Signal left, slow down, and stop to let pedestrians cross",Honk to make pedestrians cross quickly,Turn on hazard lights to alert the car behind,B,35-baa4.jpg,"Safe Driving Techniques"
What should be done when intending to turn right at an intersection?,Turn immediately as there is a large vehicle blocking the opposite lane,Accelerate to turn right immediately,Wait in the turning position and let the opposite vehicles pass first,Move to the right lane and turn,C,36-23a1.jpg,"Safe Driving Techniques"
What should be done when intending to turn right at an intersection?,"Signal right, slow down, and stop to let pedestrians cross",Follow closely behind the car ahead and turn immediately,Honk to make pedestrians cross quickly,Move to the right lane and turn,A,37-a550.jpg,"Safe Driving Techniques"
What should be done when intending to go straight at an intersection?,Honk to make the car ahead speed up,Maintain the same speed,Slow down and give way to turning vehicles,Turn on hazard lights and speed through,C,38-861b.jpg,"Safe Driving Techniques"
Which car is in the blind spot of the white car?,Car C,Car A and Car B,Car B and Car C,Car A and Car C,A,39-72e1.jpg,"Safe Driving Techniques"
Why should a driver look sideways before changing lanes?,To change lanes faster,To check the right-side blind spot,To change lanes without signaling,To see pedestrians on the sidewalk,B,,"Safe Driving Techniques"
What is the correct definition of a blind spot?,Area behind the car not visible in the rearview mirror,Area not clearly visible to the driver while driving,Area in front of the car not visible to the driver,Area to the left of the car not visible to the driver,B,,"Safe Driving Techniques"
What should be done first if the engine stalls while moving uphill?,Brake immediately to prevent rolling back,Shift to neutral gear,Restart the engine,Turn on the hazard lights,A,,"Safe Driving Techniques"
What gear should be used when driving up or down a steep hill?,Low gear,High gear,Neutral gear,Any gear,A,,"Safe Driving Techniques"
Why should low gear be used when driving downhill?,To increase engine power,To control the car's speed,To reduce engine heat,To increase car speed,B,,"Safe Driving Techniques"
Why should brakes not be used continuously for a long time when driving downhill?,It will waste travel time,It will waste fuel,It will burn the brake pads,It will slow down the car,C,,"Safe Driving Techniques"
What should be done when driving through water?,Slow down but slightly increase engine speed,Turn on hazard lights,Drive faster,Drive at normal speed,A,,"Safe Driving Techniques"
Why should engine speed be slightly increased when driving through water?,To maintain a constant speed,To heat the engine,To increase car speed,To prevent the engine from stalling,D,,"Safe Driving Techniques"
What should be done when driving through a flooded area?,Drive slowly following the car ahead at a safe distance,Avoid using brakes at all costs,Drive closely behind the car ahead,Turn on hazard lights all the time,A,,"Safe Driving Techniques"
What system should be tested after driving through a flooded area?,Starting system,Electrical system,Braking system,Suspension system,C,,"Safe Driving Techniques"
What is the main benefit of engine braking when driving downhill?,To safely drive downhill,To reduce brake pad wear,To save fuel,To increase vehicle stability,A,,"Safe Driving Techniques"
Why is a car more likely to skid when it first starts to rain?,Rainwater creates potholes in the road,Rainwater forms a film between the tire and road surface,Concrete roads absorb rainwater well,The road surface adjusts temperature too quickly,B,,"Safe Driving Techniques"
What should not be done when driving in heavy rain?,Drive fast and brake hard,Drive at low speed,Turn on headlights,Stop the car on the road,A,,"Safe Driving Techniques"
What is the correct practice for driving at night?,Use high beams all the time,Drive slower or not faster than visible distance,Drive at normal speed,Turn on hazard lights all the time,B,,"Safe Driving Techniques"
What is the first thing a driver should do after an accident?,Call rescue services,Call the police,Call car insurance,Signal to warn other vehicles,D,,"Safe Driving Techniques"
What should be done if there are injured people after an accident and you are not injured?,Provide first aid and rush them to the hospital,Ignore if the injured are not acquaintances,Notify nearby police,Call emergency services immediately,A,,"Safe Driving Techniques"
What is the correct practice for fuel-efficient driving?,Driving at higher speeds saves more fuel,Driving at a constant speed saves fuel,Frequent acceleration saves more fuel,Driving at varying speeds saves more fuel,B,,"Safe Driving Techniques"
What should be done when it starts to rain while driving?,Reduce the car's speed,Speed up to get through the rain quickly,Turn on hazard lights and drive through quickly,Stop the car immediately,A,,"Safe Driving Techniques"
What should be done when driving at night?,Increase the distance from the car ahead,Turn on hazard lights when overtaking,Drive closely behind the car ahead for visibility,Use high beams all the time,A,,"Safe Driving Techniques"
What should be done before a long-distance trip?,Drink energy drinks before traveling,Get enough rest,Eat before traveling,Find a travel companion,B,,"Safe Driving Techniques"
"In the given situation, what should be done first when moving forward?",Turn on the signal light,Check safety on the right side,Honk the horn,Lower the window and wave,B,58-7fbe.jpg,"Safe Driving Techniques"
What is the correct practice when approaching an ungated railway crossing?,Slow down and be ready to stop at any time,Speed up to pass quickly,Honk for safety,Open the window to listen for train signals,A,59-103d.jpg,"Safe Driving Techniques"
What should be done when encountering a warning sign about frequent falling rocks or the sign shown in the picture?,Slow down and drive more carefully,Speed up to pass quickly,Do nothing as the chances are low,Avoid and use another route,A,60-2844.jpg,"Safe Driving Techniques"
"When finding the engine on fire while driving, what should the driver do?",Drive the car into the river,Stop and abandon the car immediately,"Stay calm, slowly drive and park on the roadside",Call highway rescue,C,,"Safe Driving Techniques"
Which of the following results in increased fuel consumption?,Worn tire treads,Driving at a constant speed,Normal brake adjustment,Overloading the vehicle,D,,"Safe Driving Techniques"
What factor contributes most to dangerous situations?,Driver's unpreparedness,Geographical features,Movement of vehicles or pedestrians,Road surface condition,A,,"Safe Driving Techniques"
Which statement is correct regarding safe driving?,"If very sleepy, drive at high speed to stay alert",Maintain a greater distance from the car ahead when it's raining than under normal conditions,No need to check the vehicle before traveling,Drive at 120 km/h to reach the destination faster,B,,"Safe Driving Techniques"
"In the picture, if you want to overtake the car in front and return to the left lane, how should you signal?",Check for safety and signal right before overtaking,Signal left while overtaking,"Signal right first, then signal left while overtaking",No need to signal if the car ahead is driving slowly,A,65-946d.jpg,"Safe Driving Techniques"
"In normal road conditions, with a ready vehicle and driver, how much distance should you keep from the car in front to stop safely?",One car length,3 meters,5 meters,A reasonable distance to stop safely,D,,"Safe Driving Techniques"
In which situation is it appropriate to use hazard lights?,When driving in dense fog,When turning left at an intersection without traffic lights,To signal that you are going straight,When the car is broken down on the shoulder,D,,"Safe Driving Techniques"
What happens when a car without ABS brakes suddenly at high speed?,It will stop within the expected distance,It will gradually slow down,"The wheels will lock, and the car may spin","The wheels will lock, and the car will stop immediately",C,,"Safe Driving Techniques"
How should you perform an emergency stop in a car without ABS?,Press and release the brake pedal rhythmically,Press the brake hard,Press the brake pedal and handbrake simultaneously,Press and release the brake pedal and handbrake simultaneously,A,,"Safe Driving Techniques"
What is incorrect behavior during emergency braking?,Turn the steering wheel to avoid a collision if necessary,Keep both hands on the steering wheel,Use the handbrake to help stop,Avoid slamming the brake for non-ABS brakes,C,,"Safe Driving Techniques"
What type of parking is likely to cause an accident?,Double parking,Parking close to the left curb,Parking in a parking lot,Parking in a parking building,A,,"Safe Driving Techniques"
In which picture is parking prohibited?,Picture 1 and Picture 2,Picture 2 and Picture 3,Picture 1 and Picture 3,"All Pictures 1, 2, and 3",B,73-91ae.jpg,"Safe Driving Techniques"
"If you are parked close to the left curb and want to move out, what should you do?","Check for approaching vehicles in the side and rearview mirrors, then signal right",Signal to warn approaching vehicles to slow down,"No need to check the vehicle in front, just check the rear",Signal by hand to request the right of way,A,,"Safe Driving Techniques"
Which terminal of the battery should be insulated?,Positive terminal,Negative terminal,No need for insulation,Both terminals,A,,"Vehicle Maintenance"
What causes a battery to not charge?,Using the audio system too much,Battery terminal insulation falls off,Using turn signals too much,Faulty alternator or loose/broken alternator belt,D,,"Vehicle Maintenance"
What causes a car to not start?,Clogged air filter,Brake fluid is empty,Radiator water is dry,Battery has no power,D,,"Vehicle Maintenance"
How can you easily check if a battery has power?,Honk the horn and listen if it's normal or faint,Drive 2-3 meters and test the brakes,Press the clutch and shift gears,Turn the steering wheel left and right,A,,"Vehicle Maintenance"
When should the driver use hazard lights?,"In fog, rain, dust, smoke on the road",When passing through intersections,When making a U-turn or changing lanes,When the car is broken down or in an accident,D,,"Vehicle Maintenance"
What is the initial solution for an electrical short circuit?,Immediately open the radiator cap,Turn off the engine and disconnect the battery terminals,Immediately call the fire department,Immediately douse with water,B,,"Vehicle Maintenance"
"If there is corrosion on the battery terminals, what is the best way to fix it?",Wash with warm water and apply grease,Wash with vinegar,Wash with lemon juice,Wash with distilled water,A,,"Vehicle Maintenance"
"When removing battery terminals, which one should be removed first?",Any terminal,Positive terminal,Both terminals simultaneously,Negative terminal,D,,"Vehicle Maintenance"
What type of water should be used to fill the battery?,Distilled water,Rainwater,Groundwater,Soap water,A,,"Vehicle Maintenance"
At what level should distilled water be filled in the battery?,Between the specified marks,Slightly below the specified mark,Slightly above the specified mark,Fill until overflowing and then close the cap,A,,"Vehicle Maintenance"
What color warning light should not appear on the dashboard while driving?,Green,Yellow,Red,Blue,C,,"Vehicle Maintenance"
What causes corrosion on battery terminals?,Dust accumulation,Acid reacts with air,Water splashes on the battery terminals,Dirty battery terminal insulation,B,,"Vehicle Maintenance"
What is the function of a car battery?,Store and supply electrical current,Used when the engine is off,Cut off electrical current,Produce electricity in the car,A,,"Vehicle Maintenance"
What is the voltage of a car battery?,12 volts,15 volts,24 volts,220 volts,A,,"Vehicle Maintenance"
What is the function of the starter motor?,Improve steering wheel rotation,Start the engine,Improve braking system,Cool the car air conditioner,B,,"Vehicle Maintenance"
What is the correct tension for the fan and alternator belt?,5-15 millimeters,20-25 millimeters,25-30 millimeters,30-35 millimeters,A,,"Vehicle Maintenance"
Why does a red warning light appear while driving?,Faulty alternator,Dead battery,Battery near end of life,Dry distilled water,A,,"Vehicle Maintenance"
How much distilled water should cover the battery plates?,1 inch,2 inches,3 inches,4 inches,A,,"Vehicle Maintenance"
What is the function of the alternator?,Start the engine,Produce electricity in the car,Turn off the engine,Check the car's temperature,B,,"Vehicle Maintenance"
How should you refuel a gasoline engine vehicle?,Use lower-grade fuel for economy,Use higher-grade fuel to prevent engine damage,Use the octane rating specified in the car manual,Use any octane rating as convenient,C,,"Vehicle Maintenance"
What does 'gasohol' mean?,Fuel mixed with ethanol,Fuel mixed with lead,Fuel made 100% from plants,Fuel mixed with lubricants,A,,"Vehicle Maintenance"
What is the highest octane rating of gasohol available in Thailand?,Octane 98,Octane 95,Octane 91,Octane 87,B,,"Vehicle Maintenance"
"When checking fuel in the engine compartment, what should you primarily inspect?",Engine combustion,Fuel contamination,Condition of fuel lines and leaks,Fuel level,C,,"Vehicle Maintenance"
What should you do if you put the wrong type of fuel in your car?,Add the correct type to dilute it,Drive until the tank is empty and then refill with the correct type,Immediately drain and replace it,Drive and drain if it affects the engine,C,,"Vehicle Maintenance"
What should you do if you find fuel seeping from the fuel line?,Switch the hose to a low-pressure line,Tighten it with tape,Continue using it until it drips,Replace the hose,D,,"Vehicle Maintenance"
What should you do if your car has a fuel line leak?,Turn off the engine and do not drive as it may cause a fire,Drive to the service center for repair,Tape it and drive to a mechanic,Use a bottle to catch the leaking fuel and keep driving,A,,"Vehicle Maintenance"
Which statement is correct?,Do not mix lubricants with fuel,Refuel during the daytime,Octane 95 cannot replace octane 91,The most expensive fuel is the best,A,,"Vehicle Maintenance"
How do gasoline engines differ from diesel engines?,Different starting systems,Different cooling systems,Gasoline engines use spark plugs for ignition,Different electrical systems,C,,"Vehicle Maintenance"
What happens if you use octane 91 instead of octane 95 in a car that requires octane 95?,Works as normal,Engine knocking,Engine breaks down immediately,No effect on performance,B,,"Vehicle Maintenance"
What happens if you use a higher octane fuel than specified in the manual?,Engine runs hotter,No effect on performance,Engine wears out faster,Engine RPM increases,B,,"Vehicle Maintenance"
What should you do when refueling?,Turn off the engine,Get out of the car and walk away,Do nothing,Keep the engine running,A,,"Vehicle Maintenance"
How should you check for fuel system leaks?,Use soapy water to check for oil stains,Use a flashlight or lighter if visibility is poor,Observe and smell,Twist the hose to check for defects,C,,"Vehicle Maintenance"
What effect does using CNG have on the engine?,No effect on the engine,Engine wears out faster than using gasoline,Engine runs cooler,Longer spark plug life than using gasoline,B,,"Vehicle Maintenance"
What does E85 gasoline mean?,15% methanol,15% ethanol,85% gasoline,85% ethanol,D,,"Vehicle Maintenance"
Which fuel has the fastest evaporation rate?,E85,E20,Gasohol 95,95,A,,"Vehicle Maintenance"
What should you do if a diesel engine vehicle shows a water separator warning?,Remove and clean the water separator,Have a mechanic replace the water separator,Drain the water from the separator,Turn off the engine and restart,C,366-ce94.jpg,"Vehicle Maintenance"
What causes excessive black smoke in a diesel engine?,Clogged air filter,Incorrect fuel type,Contaminated fuel,Water in the fuel,A,,"Vehicle Maintenance"
What is not a function of engine oil?,Heat dissipation,Cushioning surfaces,Creating viscosity,Cleaning the engine,C,,"Vehicle Maintenance"
"When changing engine oil, which part should also be replaced?",Engine belt,Spark plugs,Fuel filter,Oil filter,D,,"Vehicle Maintenance"
Which part of the engine do you check to monitor engine oil levels?,Oil pan,Oil fill cap,Oil filter,Dipstick,D,,"Vehicle Maintenance"
What is the correct procedure before checking and refilling engine oil?,"Park on a flat surface, check oil while engine is running for at least 10-15 minutes","Park on a flat surface, check oil while engine is off for at least 10-15 minutes","Park on a flat surface, check oil immediately after turning off the engine","Park on a flat surface, check oil while engine is running or immediately after turning off",B,,"Vehicle Maintenance"
How can you detect engine oil leaks?,Observe the parking spot and engine joints,Listen for unusual engine noises,Smell the engine oil,Check for high engine temperature,A,,"Vehicle Maintenance"
What happens if the front left tire is underinflated?,Rear tires will wear unevenly,Fuel consumption will decrease,Steering wheel will pull to the right,Steering wheel will pull to the left,D,,"Vehicle Maintenance"
What happens if tire pressure is too low?,Center tread will wear faster,Ride will be rougher,Both side treads will wear out,Fuel consumption will decrease,C,,"Vehicle Maintenance"
What happens if tire pressure is too high?,Center tread will wear faster,Ride will be smoother,Fuel consumption will increase,Side treads will wear faster,A,,"Vehicle Maintenance"
How often should tire pressure be checked?,Every 1 month,Every 2 months,Every 3 months,At least once a week,D,,"Vehicle Maintenance"
What is the correct procedure for inflating tires?,Inflate when tires are hot,Inflate when tires are cold,Inflate as much as possible,Inflate as little as possible,B,,"Vehicle Maintenance"
How often should tires be rotated?,"Every 10,000 km","Every 25,000 km","Every 30,000 km","Every 35,000 km",A,,"Vehicle Maintenance"
What is not a cause of tire blowouts?,Using old tires,Using expired tires,Overloading the vehicle,Inflating tires to the recommended level,D,,"Vehicle Maintenance"
What is the function of tires?,Connecting the engine,Providing vehicle propulsion,Preventing skidding,Dissipating heat,C,,"Vehicle Maintenance"
How should tires be inflated for a car?,By tapping and listening to the sound,By visual estimation,Following the vehicle manual,Any amount is fine,C,,"Vehicle Maintenance"
What is the purpose of a tire valve cap?,Prevent air leaks and keep out dirt,Prevent tire blowouts,Prevent tire theft,Prevent others from inflating the tire,A,,"Vehicle Maintenance"
What is the disadvantage of using smaller tires?,Increased fuel consumption,Heavy steering at low speeds,Tires rubbing against the car body,Reduced load-carrying capacity,D,,"Vehicle Maintenance"
What is the disadvantage of using larger tires?,Increased fuel consumption,Reduced load-carrying capacity,Increased tire wear,Light steering at low speeds,A,,"Vehicle Maintenance"
What does the first two digits 21 indicate on a tire?,Date of manufacture,Week of manufacture,Month of manufacture,Year of manufacture,B,55-45a2.jpg,"Vehicle Maintenance"
What does the last two digits 13 indicate on a tire?,Year of manufacture,Date of manufacture,Week of manufacture,Year of tire expiration,A,56-07b2.jpg,"Vehicle Maintenance"
